Genotype;HGW_1;HGW_2;HGW_3;HGW_4;HGW_5;HGW_6
ASSYST-078;0,423;0,416;0,413;0,419;0,429;0,414
ASSYST-120;0,478;0,498;0,456;0,46;0,446;0,483
ASSYST-145;0,335;0,33;0,342;0,342;0,331;0,362
ASSYST-210;0,476;0,479;0,471;0,435;0,436;0,436
ASSYST-211;0,381;0,364;0,373;0,223;0,336;0,368
ASSYST-219;0,394;0,388;0,379;0,394;0,398;0,399
ASSYST-271;0,465;0,471;0,415;0,422;0,43;0,454
ASSYST-273;0,269;0,261;0,262;0,262;0,274;0,263
ASSYST-290;0,258;0,244;0,276;0,284;0,289;0,282
ASSYST-419;0,258;0,244;0,276;;;
ASSYST-424;0,275;0,283;0,275;0,45;0,452;0,445
ASSYST-427;0,45;0,434;0,428;0,229;0,223;0,218
